"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Bogdan Bogdanovic",4500,"SAC@DAL 10/20/2017 08:30PM ET",5.250,"SAC"
"PG/SG","Jordan Clarkson",4400,"LAL@PHO 10/20/2017 10:00PM ET",24.238,"LAL"
"SF/PF","Maurice Harkless",4400,"POR@IND 10/20/2017 07:00PM ET",21.021,"POR"
"PG/SF","Caris LeVert",4400,"ORL@BKN 10/20/2017 07:30PM ET",17.228,"BKN"
"PF/C","John Collins",4400,"ATL@CHA 10/20/2017 07:00PM ET",20.750,"ATL"
"SF/PF","Marvin Williams",4400,"ATL@CHA 10/20/2017 07:00PM ET",24.804,"CHA"
"SG/SF","Kelly Oubre Jr.",4400,"DET@WAS 10/20/2017 07:00PM ET",13.124,"WAS"
"SF/PF","Larry Nance Jr.",4300,"LAL@PHO 10/20/2017 10:00PM ET",20.112,"LAL"
"PG/SG","Sean Kilpatrick",4300,"ORL@BKN 10/20/2017 07:30PM ET",22.789,"BKN"
"SF/PF","DeMarre Carroll",4300,"ORL@BKN 10/20/2017 07:30PM ET",17.801,"BKN"
"SG/SF","Terrence Ross",4300,"ORL@BKN 10/20/2017 07:30PM ET",19.418,"ORL"
"PF/C","Frank Kaminsky",4300,"ATL@CHA 10/20/2017 07:00PM ET",22.747,"CHA"
"PG/SG","Terry Rozier",4200,"BOS@PHI 10/20/2017 07:00PM ET",13.688,"BOS"
"PG/SG","Yogi Ferrell",4200,"SAC@DAL 10/20/2017 08:30PM ET",20.819,"DAL"
"PG/SG","J.J. Barea",4200,"SAC@DAL 10/20/2017 08:30PM ET",22.576,"DAL"
"PF/C","Alex Len",4100,"LAL@PHO 10/20/2017 10:00PM ET",20.401,"PHO"
"SG/SF","Bojan Bogdanovic",4100,"POR@IND 10/20/2017 07:00PM ET",20.450,"IND"
"PF","Caleb Swanigan",4100,"POR@IND 10/20/2017 07:00PM ET",25.000,"POR"
"SG/SF","Andre Iguodala",4100,"GS@NO 10/20/2017 09:30PM ET",20.481,"GS"
"PG","Ish Smith",4100,"DET@WAS 10/20/2017 07:00PM ET",22.640,"DET"
"PF/C","Jason Smith",4100,"DET@WAS 10/20/2017 07:00PM ET",12.014,"WAS"
"C","Tyson Chandler",4000,"LAL@PHO 10/20/2017 10:00PM ET",25.422,"PHO"
"PG","Tyler Ulis",4000,"LAL@PHO 10/20/2017 10:00PM ET",16.073,"PHO"
"PG","Cory Joseph",4000,"POR@IND 10/20/2017 07:00PM ET",19.126,"IND"
"SG/SF","Jonathon Simmons",4000,"ORL@BKN 10/20/2017 07:30PM ET",13.508,"ORL"
"C","Cody Zeller",4000,"ATL@CHA 10/20/2017 07:00PM ET",24.117,"CHA"
"SG/SF","Nicolas Batum",4000,"ATL@CHA 10/20/2017 07:00PM ET",34.054,"CHA"
"PG/SG","Jerryd Bayless",4000,"BOS@PHI 10/20/2017 07:00PM ET",18.125,"PHI"
